type,country,date_added,release_year,rating,duration,listed_in
Movie,"United Kingdom, Australia, France",2-Sep-21,2009,PG,119 min,"Dramas, Romantic Movies"
Movie,India,2-Sep-21,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies"
Movie,"United Kingdom, United States",2-Sep-21,2021,PG-13,94 min,Documentaries
Movie,India,2-Sep-21,2017,TV-14,106 min,"Dramas, International Movies, Thrillers"
Movie,,2-Sep-21,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies"
TV Show,Australia,2-Sep-21,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
TV Show,,2-Sep-21,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,"United Kingdom, Australia, France, United States",2-Sep-21,2003,R,118 min,Thrillers
TV Show,,2-Sep-21,2012,TV-Y7,1 Season,Kids' TV
TV Show,South Korea,2-Sep-21,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows"
TV Show,United States,2-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies"
Movie,India,2-Sep-21,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies"
Movie,"United States, Canada",1-Sep-21,2004,PG,95 min,"Children & Family Movies, Comedies"
Movie,,1-Sep-21,2017,PG-13,115 min,"Dramas, International Movies, Thrillers"
Movie,"Germany, United States",1-Sep-21,2005,PG-13,108 min,Dramas
Movie,,1-Sep-21,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals"
Movie,United States,1-Sep-21,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies"
TV Show,,1-Sep-21,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies"
Movie,"South Africa, United States",1-Sep-21,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,"United States, Mexico",1-Sep-21,1994,PG-13,142 min,"Action & Adventure, Dramas"
Movie,"United States, Italy, France, Japan",1-Sep-21,1993,R,113 min,Action & Adventure
Movie,"United States, Italy, Romania, United Kingdom",1-Sep-21,2003,R,154 min,"Dramas, Romantic Movies"
Movie,"Australia, United States",1-Sep-21,2001,PG,95 min,"Action & Adventure, Comedies"
Movie,United States,1-Sep-21,2010,PG-13,108 min,"Dramas, Romantic Movies"
Movie,United States,1-Sep-21,1989,R,120 min,"Classic Movies, Comedies, Dramas"
Movie,"Argentina, Venezuela",1-Sep-21,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers"
Movie,"United States, United Kingdom, Canada",1-Sep-21,2015,R,82 min,Action & Adventure
Movie,"Germany, United States",1-Sep-21,2007,PG-13,124 min,Dramas
Movie,United States,1-Sep-21,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,United States,1-Sep-21,1990,R,104 min,"Comedies, Cult Movies"
Movie,United States,1-Sep-21,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals"
Movie,United States,1-Sep-21,1994,R,94 min,"Comedies, Music & Musicals"
TV Show,,1-Sep-21,2021,TV-PG,1 Season,Reality TV
TV Show,,1-Sep-21,2020,TV-14,1 Season,TV Shows
Movie,United States,1-Sep-21,1998,R,93 min,"Action & Adventure, Comedies"
Movie,United States,1-Sep-21,1999,R,97 min,Thrillers
Movie,"China, Hong Kong",1-Sep-21,2005,TV-14,109 min,"Action & Adventure, International Movies"
Movie,United States,1-Sep-21,2016,TV-MA,88 min,Comedies
TV Show,Russia,1-Sep-21,2016,TV-Y,2 Seasons,Kids' TV
TV Show,Japan,1-Sep-21,2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows"
Movie,"United Kingdom, United States",1-Sep-21,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies"
Movie,United States,1-Sep-21,2010,PG,105 min,"Comedies, Dramas, Romantic Movies"
Movie,Canada,1-Sep-21,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers"
Movie,United States,1-Sep-21,2003,PG-13,101 min,"Comedies, Romantic Movies"
Movie,Hong Kong,1-Sep-21,2010,TV-MA,103 min,"Comedies, Dramas, International Movies"
TV Show,United States,1-Sep-21,1992,TV-PG,4 Seasons,TV Comedies
Movie,United States,1-Sep-21,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy"
Movie,"United States, China, Hong Kong",1-Sep-21,2017,PG-13,118 min,Dramas
Movie,United States,1-Sep-21,2003,R,86 min,"Comedies, Romantic Movies"
Movie,United States,1-Sep-21,1999,PG-13,121 min,"Action & Adventure, Comedies"
TV Show,,1-Sep-21,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Movie,"Italy, United States",1-Sep-21,1984,R,229 min,"Classic Movies, Dramas"
Movie,"United States, Canada",1-Sep-21,2008,PG,76 min,"Children & Family Movies, Comedies"
Movie,United States,1-Sep-21,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies"
Movie,United States,1-Sep-21,2006,PG-13,98 min,"Action & Adventure, Dramas"
Movie,United States,1-Sep-21,1997,R,89 min,"Documentaries, Music & Musicals"
Movie,United States,1-Sep-21,2017,PG-13,120 min,"Dramas, Faith & Spirituality"
Movie,"United States, Germany",1-Sep-21,2003,PG-13,110 min,"Comedies, Music & Musicals"
Movie,United States,1-Sep-21,2015,PG-13,83 min,"Documentaries, LGBTQ Movies"
Movie,United States,1-Sep-21,2003,R,121 min,"Action & Adventure, Dramas"
Movie,United States,1-Sep-21,1980,R,105 min,"Dramas, Romantic Movies"
Movie,United States,1-Sep-21,1986,PG-13,94 min,"Action & Adventure, Comedies"
Movie,"United Kingdom, United States",1-Sep-21,1961,TV-14,156 min,"Action & Adventure, Classic Movies"
Movie,United States,1-Sep-21,2014,R,112 min,"Action & Adventure, Comedies"
Movie,United States,1-Sep-21,1996,PG-13,95 min,"Comedies, Romantic Movies"
Movie,,1-Sep-21,2000,PG-13,107 min,"Comedies, Romantic Movies"
TV Show,,1-Sep-21,2021,TV-14,1 Season,Docuseries
Movie,United States,1-Sep-21,2008,PG-13,114 min,Comedies
Movie,United States,31-Aug-21,1993,R,129 min,"Action & Adventure, Classic Movies"
TV Show,United States,31-Aug-21,2021,TV-PG,1 Season,Reality TV
Movie,,31-Aug-21,2021,TV-MA,86 min,"Documentaries, Sports Movies"
TV Show,,29-Aug-21,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,,29-Aug-21,2021,TV-G,1 Season,"International TV Shows, TV Comedies"
Movie,France,28-Aug-21,2008,TV-MA,97 min,"Comedies, International Movies"
TV Show,,28-Aug-21,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
Movie,India,28-Aug-21,2021,TV-14,125 min,"Dramas, International Movies"
Movie,"United Kingdom, Canada, United States",28-Aug-21,2017,R,107 min,"Dramas, Independent Movies"
Movie,India,27-Aug-21,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies"
TV Show,", South Korea",27-Aug-21,2021,TV-MA,1 Season,"International TV Shows, TV Dramas"
TV Show,,27-Aug-21,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,India,27-Aug-21,2008,TV-14,128 min,"Comedies, Dramas, International Movies"
Movie,,27-Aug-21,2021,TV-14,92 min,"Comedies, Romantic Movies"
TV Show,,27-Aug-21,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
TV Show,Nigeria,27-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,India,27-Aug-21,2006,TV-14,135 min,"Comedies, Dramas, International Movies"
Movie,India,27-Aug-21,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies"
Movie,India,27-Aug-21,2003,TV-14,136 min,"Dramas, International Movies, Thrillers"
Movie,India,27-Aug-21,2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals"
Movie,India,27-Aug-21,2016,TV-MA,124 min,"Comedies, International Movies"
Movie,India,27-Aug-21,2012,TV-MA,136 min,"Comedies, International Movies"
Movie,India,27-Aug-21,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy"
Movie,India,27-Aug-21,2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies"
Movie,India,27-Aug-21,2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals"
Movie,India,27-Aug-21,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals"
Movie,India,27-Aug-21,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals"
Movie,India,27-Aug-21,2011,TV-MA,93 min,"Horror Movies, International Movies"
Movie,India,27-Aug-21,2014,TV-MA,113 min,"Horror Movies, International Movies"
TV Show,Ireland,27-Aug-21,2016,TV-MA,2 Seasons,"International TV Shows, TV Dramas"
TV Show,,27-Aug-21,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows"
Movie,,27-Aug-21,2021,R,124 min,"Action & Adventure, International Movies"
Movie,India,27-Aug-21,2007,TV-MA,116 min,"Action & Adventure, Dramas, International Movies"
Movie,India,27-Aug-21,2011,TV-14,106 min,"Comedies, Dramas, Independent Movies"
Movie,India,27-Aug-21,2011,TV-14,145 min,"Comedies, Dramas, International Movies"
TV Show,,27-Aug-21,2021,TV-14,1 Season,"Reality TV, Teen TV Shows"
TV Show,Japan,26-Aug-21,2021,TV-14,1 Season,"Anime Series, International TV Shows"
TV Show,United States,26-Aug-21,2021,TV-PG,4 Seasons,"Kids' TV, TV Comedies"
Movie,,25-Aug-21,2021,TV-14,93 min,Documentaries
TV Show,,25-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries"
TV Show,,25-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
TV Show,,25-Aug-21,2021,TV-14,1 Season,"International TV Shows, Reality TV"
TV Show,,25-Aug-21,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
TV Show,,25-Aug-21,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
Movie,United States,25-Aug-21,2020,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies"
Movie,"United States, United Kingdom",25-Aug-21,2014,R,108 min,Action & Adventure
Movie,United States,25-Aug-21,2020,TV-MA,90 min,Horror Movies
Movie,,25-Aug-21,2021,TV-MA,86 min,"Documentaries, Sports Movies"
Movie,United States,25-Aug-21,2021,PG,92 min,"Children & Family Movies, Dramas"
TV Show,United States,25-Aug-21,2019,TV-G,3 Seasons,Reality TV
Movie,United Kingdom,24-Aug-21,2021,TV-MA,82 min,"Documentaries, Music & Musicals"
TV Show,,24-Aug-21,2021,TV-Y,1 Season,"Kids' TV, TV Comedies"
Movie,,24-Aug-21,2021,TV-PG,70 min,"Documentaries, LGBTQ Movies, Sports Movies"
Movie,,23-Aug-21,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
Movie,,23-Aug-21,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
Movie,,23-Aug-21,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
Movie,,23-Aug-21,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers"
Movie,,23-Aug-21,2021,TV-MA,84 min,"Action & Adventure, Anime Features"
TV Show,United States,21-Aug-21,2021,TV-14,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy"
TV Show,,20-Aug-21,2021,TV-MA,1 Season,"International TV Shows, TV Comedies"
TV Show,,20-Aug-21,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
Movie,,20-Aug-21,2018,TV-14,96 min,"Dramas, International Movies, Thrillers"
TV Show,,20-Aug-21,2021,TV-PG,1 Season,"Docuseries, International TV Shows"
Movie,,20-Aug-21,2021,TV-MA,115 min,"Dramas, International Movies, Romantic Movies"
Movie,United States,20-Aug-21,2021,R,110 min,"Action & Adventure, Dramas"
TV Show,,20-Aug-21,2021,TV-MA,1 Season,"TV Comedies, TV Dramas"
Movie,,20-Aug-21,2021,TV-Y7,88 min,"Children & Family Movies, Comedies, Music & Musicals"
Movie,,19-Aug-21,2020,TV-PG,102 min,"Dramas, International Movies, Romantic Movies"
Movie,United States,19-Aug-21,2011,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies"
Movie,,18-Aug-21,2021,TV-MA,105 min,"International Movies, Thrillers"
Movie,India,18-Aug-21,1995,TV-14,135 min,"Dramas, International Movies, Romantic Movies"
TV Show,United States,18-Aug-21,2021,TV-Y,5 Seasons,Kids' TV
Movie,,18-Aug-21,2021,TV-MA,86 min,"Documentaries, International Movies"
Movie,,18-Aug-21,2020,TV-14,140 min,"Dramas, International Movies"
Movie,,18-Aug-21,2015,TV-14,133 min,"Dramas, International Movies, Romantic Movies"
Movie,,18-Aug-21,2020,TV-MA,92 min,"Comedies, Dramas, International Movies"
Movie,"India, Nepal",18-Aug-21,2018,TV-PG,82 min,"Comedies, Dramas, International Movies"
TV Show,,18-Aug-21,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,,18-Aug-21,2021,TV-14,97 min,"Comedies, International Movies, Romantic Movies"
Movie,,18-Aug-21,2021,TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies"
TV Show,United States,16-Aug-21,2016,TV-Y,2 Seasons,Kids' TV
Movie,United States,16-Aug-21,2014,R,94 min,"Comedies, Independent Movies"
TV Show,Japan,15-Aug-21,2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows"
TV Show,India,15-Aug-21,2020,TV-MA,1 Season,"Docuseries, International TV Shows"
Movie,"New Zealand, Australia, France, United States",15-Aug-21,1993,R,121 min,"Classic Movies, Dramas, Independent Movies"
Movie,,15-Aug-21,2020,TV-MA,97 min,"Dramas, International Movies"
TV Show,Italy,15-Aug-21,2015,TV-Y7,2 Seasons,Kids' TV
Movie,"Italy, Brazil, Greece",13-Aug-21,2021,TV-MA,110 min,Action & Adventure
TV Show,United States,13-Aug-21,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
TV Show,United States,13-Aug-21,2021,TV-Y7,5 Seasons,Kids' TV
TV Show,France,13-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,United States,13-Aug-21,2021,TV-MA,7 Seasons,"TV Comedies, TV Dramas"
TV Show,Argentina,13-Aug-21,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,Spain,13-Aug-21,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
TV Show,Jordan,12-Aug-21,2021,TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows"
Movie,Colombia,12-Aug-21,2021,TV-MA,64 min,Stand-Up Comedy
Movie,"United States, Japan",12-Aug-21,2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies"
TV Show,United States,11-Aug-21,2021,TV-PG,1 Season,Reality TV
Movie,Nigeria,11-Aug-21,2016,TV-14,101 min,"Comedies, International Movies"
Movie,Mexico,11-Aug-21,2020,TV-MA,127 min,"Dramas, Independent Movies, International Movies"
Movie,"Belgium, United Kingdom",11-Aug-21,2021,PG-13,90 min,"Documentaries, International Movies"
Movie,"United Kingdom, United States",11-Aug-21,2021,TV-14,114 min,"Comedies, Romantic Movies"
Movie,"Switzerland, United Kingdom, Australia",11-Aug-21,2013,R,108 min,"Dramas, International Movies"
TV Show,United States,10-Aug-21,2021,TV-Y,2 Seasons,Kids' TV
TV Show,,10-Aug-21,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,Colombia,10-Aug-21,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,South Korea,10-Aug-21,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,United States,10-Aug-21,2021,TV-MA,70 min,"Documentaries, Sports Movies"
TV Show,Japan,9-Aug-21,2021,TV-14,1 Season,"Anime Series, International TV Shows"
Movie,United Kingdom,8-Aug-21,2012,PG-13,98 min,"Comedies, Dramas, Independent Movies"
Movie,South Africa,8-Aug-21,2021,TV-MA,86 min,"Comedies, International Movies, Romantic Movies"
Movie,,7-Aug-21,2020,TV-PG,139 min,"International Movies, Music & Musicals"
Movie,United States,7-Aug-21,2021,PG-13,111 min,"Action & Adventure, Comedies"
TV Show,"Israel, United States",6-Aug-21,2021,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries"
TV Show,India,6-Aug-21,2021,TV-MA,1 Season,TV Shows
Movie,Nigeria,6-Aug-21,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
Movie,France,6-Aug-21,2021,TV-14,102 min,"Horror Movies, Independent Movies, International Movies"
Movie,"Canada, United States",6-Aug-21,2021,PG,100 min,"Children & Family Movies, Music & Musicals"
Movie,India,5-Aug-21,2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies"
Movie,Brazil,5-Aug-21,2013,TV-MA,69 min,"Documentaries, International Movies"
